Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAP,Advance Auto Parts Inc,212.24,4.46,2.15%,212.6,207.93,1032100,25/08/2021
AMZN,Amazon.com Inc,3299.18,-6.6,-0.20%,3321,3286.15,1680300,25/08/2021
APTV,Aptiv Plc,157.42,-0.22,-0.14%,158.73,156.82,1276400,25/08/2021
AZO,Autozone,1613.41,13.43,0.84%,1617.21,1588.73,123300,25/08/2021
BBY,Best Buy Company,121.89,0.4,0.33%,124.91,120.16,3685300,25/08/2021
BKNG,Booking Holdings Inc,2263.79,30.68,1.37%,2278.5,2210.17,340000,25/08/2021
BWA,Borgwarner Inc,43.14,-0.25,-0.58%,43.93,42.85,1780000,25/08/2021
CCL,Carnival Corp,24.11,0.27,1.13%,24.32,23.41,30576000,25/08/2021
CMG,Chipotle Mexican Grill,1924.5,3.98,0.21%,1940.99,1920.33,165700,25/08/2021
CZR,Caesars Entertainment Inc,97.7,3.84,4.09%,98.03,93.56,2560500,25/08/2021
DG,Dollar General Corp,234.74,1.99,0.85%,235.38,232.67,1563600,25/08/2021
DHI,D.R. Horton,97.16,1.2,1.25%,98,96.19,1559500,25/08/2021
DLTR,Dollar Tree Inc,106.32,1.11,1.06%,106.64,105.02,3177600,25/08/2021
DPZ,Domino's Pizza Inc,512.14,10.56,2.11%,512.55,501.48,417000,25/08/2021
DRI,Darden Restaurants,150.16,4.29,2.94%,150.79,145.59,2079700,25/08/2021
EBAY,Ebay Inc,74.16,1.32,1.81%,74.49,72.71,5052500,25/08/2021
ETSY,Etsy Inc,202.28,0.88,0.44%,203.79,197.98,1166300,25/08/2021
EXPE,Expedia Group Inc,147.62,0.99,0.68%,147.73,144.45,1714200,25/08/2021
F,Ford Motor Company,13.17,0.09,0.69%,13.28,13.02,51195402,25/08/2021
GM,General Motors Company,49.7,0.13,0.26%,49.93,49.16,14406500,25/08/2021
GPC,Genuine Parts Company,124.74,1.51,1.23%,125.57,122.97,548400,25/08/2021
GPS,Gap Inc,27.48,-1.54,-5.31%,28.87,27.43,9491200,25/08/2021
