Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
ADM,Archer Daniels Midland,60.3,0.69,1.16%,59.6,60.48,59.33,1381400,25/08/2021
CAG,Conagra Brands Inc,32.86,-0.24,-0.73%,32.9,33.03,32.66,2650000,25/08/2021
CHD,Church & Dwight Company,82.36,-0.78,-0.94%,83.09,83.09,82.27,954700,25/08/2021
CL,Colgate-Palmolive Company,77.65,-0.02,-0.03%,77.5,77.83,76.99,3636500,25/08/2021
CLX,Clorox Company,164.83,-1.86,-1.12%,166.24,166.24,164.5,1746500,25/08/2021
COST,Costco Wholesale,451.23,-0.56,-0.12%,450.83,452.82,447.32,1520500,25/08/2021
CPB,Campbell Soup Company,41.11,-0.91,-2.17%,41.28,41.7,40.97,4862400,25/08/2021
EL,Estee Lauder Companies,335.32,-2.28,-0.68%,339.74,340.25,334.53,781800,25/08/2021
GIS,General Mills,58.16,-0.26,-0.45%,58.23,58.39,57.99,2539200,25/08/2021
HRL,Hormel Foods Corp,45.35,-0.03,-0.07%,45.39,45.49,45.14,1397400,25/08/2021
HSY,Hershey Foods Corp,175.6,-0.54,-0.31%,175.79,176.23,175.05,549800,25/08/2021
K,Kellogg Company,63.98,-1.01,-1.55%,64.85,64.88,63.9,2620500,25/08/2021
KHC,Kraft Heinz Company,36.75,0.2,0.55%,36.62,36.77,36.26,4319000,25/08/2021
KMB,Kimberly-Clark Corp,135.72,-0.08,-0.06%,135.26,136.19,134.8,1114300,25/08/2021
KO,Coca-Cola Company,56.07,0.06,0.11%,56.06,56.17,55.73,11270600,25/08/2021
KR,Kroger Company,45.8,0.05,0.11%,45.75,46.32,45.54,5368100,25/08/2021
LW,Lamb Weston Holdings Inc,66.09,-0.54,-0.81%,66.88,67.27,66.06,724700,25/08/2021
MDLZ,Mondelez Intl Inc,61.87,-0.38,-0.61%,62.26,62.26,61.72,5669300,25/08/2021
MKC,Mccormick & Company,85.56,-0.32,-0.37%,85.66,85.89,84.92,766200,25/08/2021
MNST,Monster Beverage Cp,97.13,0.5,0.52%,96.64,97.29,96.17,994900,25/08/2021
MO,Altria Group,48.65,0.44,0.91%,48.33,48.92,48.17,4299000,25/08/2021
PEP,Pepsico Inc,155.2,-0.69,-0.44%,155.36,155.67,154.16,3346800,25/08/2021
PG,Procter & Gamble Company,142.67,-0.51,-0.36%,143.07,143.13,142.25,3861600,25/08/2021
PM,Philip Morris International Inc,101.24,0.61,0.61%,100.79,101.73,100.26,2213600,25/08/2021
SJM,J.M. Smucker Company,127.28,0.07,0.06%,126.82,127.89,126.23,1313800,25/08/2021
STZ,Constellation Brands Inc,214.98,-1.85,-0.85%,216.69,216.69,212.7,1177900,25/08/2021
SYY,Sysco Corp,79.15,0.7,0.89%,78.3,79.42,78.13,1796800,25/08/2021
TAP,Molson Coors Brewing Company,47.91,-0.54,-1.11%,48.37,48.37,47.73,1078400,25/08/2021
TSN,Tyson Foods,78.71,-0.41,-0.52%,78.97,79.26,78.51,1384900,25/08/2021
WBA,Walgreens Boots Alliance,48.65,0.31,0.64%,48.52,48.86,48.03,4013800,25/08/2021
WMT,Wal-Mart Stores,148.96,0.06,0.04%,148.41,149.28,148.02,7307000,25/08/2021
Downloaded from Barchart.com as of 08-26-2021 04:03am CDT,,,,,,,,,
