Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AAL,"American Airlines Gp",20.15,0.32,+1.61%,19.77,20.24,19.42,26913201,2021-08-25
ALK,"Alaska Air Group",57.66,0.54,+0.95%,57.13,58.09,56.71,1336400,2021-08-25
ALLE,"Allegion Plc",141.14,0.73999999999998,+0.53%,140.82,141.84,140.01,395200,2021-08-25
AME,"Amtek Inc",136.64,0.56,+0.41%,136.24,136.78,135.38,713700,2021-08-25
AOS,"Smith A.O. Corp",72.25,0.44,+0.61%,71.99,72.44,71.82,671200,2021-08-25
BA,"Boeing Company",221.03,-0.4,-0.18%,221.5,222.3,219.1,6528900,2021-08-25
CARR,"Carrier Global Corp",57.74,1.13,+2.00%,56.46,58.04,56.43,3900200,2021-08-25
CAT,"Caterpillar Inc",214.76,2.17,+1.02%,213.17,215.7,212.15,2599700,2021-08-25
CHRW,"C.H. Robinson Ww",90.31,0.75,+0.84%,89.56,90.78,89.31,764200,2021-08-25
CMI,"Cummins Inc",238.47,2.33,+0.99%,236.08,239.69,235.69,1016700,2021-08-25
CPRT,"Copart Inc",143.93,2.53,+1.79%,141.08,144.3,140.74,1292800,2021-08-25
CSX,"CSX Corp",33.46,0.09,+0.27%,33.41,33.56,33.27,7536600,2021-08-25
CTAS,"Cintas Corp",392.16,1.26,+0.32%,390.38,392.88,389.45,228100,2021-08-25
DAL,"Delta Air Lines Inc",41.3,0.77,+1.90%,40.59,41.44,40.16,12455801,2021-08-25
DE,"Deere & Company",376.37,8.39,+2.28%,369,379.31,367.77,1657500,2021-08-25
DOV,"Dover Corp",174.46,0.23,+0.13%,174.28,175.26,173.85,550200,2021-08-25
EFX,"Equifax Inc",264.91,5.8,+2.24%,258.93,265.88,258.8,487400,2021-08-25
EMR,"Emerson Electric Company",104.2,0.78,+0.75%,103.13,104.61,102.9,1777000,2021-08-25
ETN,"Eaton Corp",170.21,0.82,+0.48%,169.77,171.32,169.42,994600,2021-08-25
EXPD,"Expeditors Intl",124.13,1.37,+1.12%,122.78,124.48,121.56,590200,2021-08-25
FAST,"Fastenal Company",55.51,0.41,+0.74%,55.27,55.65,55.08,2258400,2021-08-25
FBHS,"Fortune Brands Home & Security",102.21,2.53,+2.54%,100.33,102.51,99.66,654800,2021-08-25
