Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
A,Agilent Technologies,173.3,2.73,1.60%,173.54,170.07,1411900,25/08/2021
AAL,American Airlines Gp,20.15,0.32,1.61%,20.24,19.42,26913201,25/08/2021
AAP,Advance Auto Parts Inc,212.24,4.46,2.15%,212.6,207.93,1032100,25/08/2021
AAPL,Apple Inc,148.36,-1.26,-0.84%,150.32,147.8,58991297,25/08/2021
ABBV,Abbvie Inc,120.4,0.72,0.60%,121.4,118.87,5241000,25/08/2021
ABC,Amerisourcebergen Corp,118.09,0.09,0.08%,118.86,116.52,898500,25/08/2021
ABMD,Abiomed Inc,358.01,0.39,0.11%,361.07,355.95,122300,25/08/2021
ABT,Abbott Laboratories,124.74,-0.76,-0.61%,125.91,124.17,4379000,25/08/2021
ACN,Accenture Plc,333.44,2.53,0.76%,334.59,331.13,1613800,25/08/2021
ADBE,Adobe Systems Inc,656.8,-0.44,-0.07%,661.06,651.64,1048200,25/08/2021
ADI,Analog Devices,164,-1.85,-1.12%,167.93,163.08,19156400,25/08/2021
ADM,Archer Daniels Midland,60.3,0.69,1.16%,60.48,59.33,1381400,25/08/2021
ADP,Automatic Data Procs,208.19,0,0.00%,209.17,206.89,1202700,25/08/2021
ADSK,Autodesk Inc,342.27,1.2,0.35%,343.56,339.33,1502000,25/08/2021
AEE,Ameren Corp,87.34,0.2,0.23%,87.72,86.46,788800,25/08/2021
AEP,American Electric Power Company,89.33,0.1,0.11%,89.6,88.53,2754900,25/08/2021
AES,The Aes Corp,24.26,0.06,0.25%,24.52,24.08,6158300,25/08/2021
AFL,Aflac Inc,57.11,0.4,0.71%,57.55,56.51,2609800,25/08/2021
AIG,American International Group,54.93,0.57,1.05%,55.5,54.22,4019400,25/08/2021
AIZ,Assurant Inc,168.81,2.07,1.24%,169.87,167.23,306900,25/08/2021
AJG,Arthur J. Gallagher & Company,142.91,-0.49,-0.34%,143.4,142.2,666600,25/08/2021
AKAM,Akamai Technologies,113.23,-0.52,-0.46%,114.08,112.76,775200,25/08/2021
ALB,Albemarle Corp,234.17,4.97,2.17%,240.54,227.5,1834500,25/08/2021
ALGN,Align Technology,716.9,4.06,0.57%,721.45,711.72,526400,25/08/2021
ALK,Alaska Air Group,57.66,0.54,0.95%,58.09,56.71,1336400,25/08/2021
ALL,Allstate Corp,137.87,0.92,0.67%,139.45,137.34,1457600,25/08/2021
ALLE,Allegion Plc,141.14,0.74,0.53%,141.84,140.01,395200,25/08/2021
AMAT,Applied Materials,132.82,1.38,1.05%,134.2,131.44,6735100,25/08/2021
AMCR,Amcor Plc,12.8,0.18,1.43%,12.92,12.56,10676500,25/08/2021
AMD,Adv Micro Devices,108.3,0.65,0.60%,109.91,107.45,45485500,25/08/2021
AME,Amtek Inc,136.64,0.56,0.41%,136.78,135.38,713700,25/08/2021
AMGN,Amgen Inc,221.59,-2.79,-1.24%,224.83,221.18,2173200,25/08/2021
AMP,Ameriprise Financial Services,272.68,4.54,1.69%,274.22,268.48,309500,25/08/2021
AMT,American Tower Corp,282.9,-1.7,-0.60%,284.69,281.72,973400,25/08/2021
AMZN,Amazon.com Inc,3299.18,-6.6,-0.20%,3321,3286.15,1680300,25/08/2021
ANET,Arista Networks Inc,374.12,-2.33,-0.62%,379.16,372.72,367000,25/08/2021
ANSS,Ansys Inc,365.83,-2.9,-0.79%,368.95,365.27,331000,25/08/2021
ANTM,Anthem Inc,373.18,-3.57,-0.95%,377.48,372.85,737600,25/08/2021
AON,AON Plc,280.97,1.48,0.53%,282.585,278.18,1540300,25/08/2021
AOS,Smith A.O. Corp,72.25,0.44,0.61%,72.44,71.82,671200,25/08/2021
APA,Apa Corp,18.13,0.23,1.28%,18.26,17.63,7324300,25/08/2021
APD,Air Products and Chemicals,269.17,-1.35,-0.50%,269.67,267.5,1305100,25/08/2021
APH,Amphenol Corp,75.78,0.44,0.58%,75.9,75.24,1492700,25/08/2021
APTV,Aptiv Plc,157.42,-0.22,-0.14%,158.73,156.82,1276400,25/08/2021
ARE,Alexandria Real Estate Equities,203.84,-0.68,-0.33%,205.56,203.36,750600,25/08/2021
ATO,Atmos Energy Corp,97.49,-0.63,-0.64%,98.11,97.09,644000,25/08/2021
ATVI,Activision Blizzard,80.81,-0.98,-1.20%,82.12,80,10410200,25/08/2021
AVB,Avalonbay Communities,222.26,0.47,0.21%,224.29,220.47,339800,25/08/2021
AVGO,Broadcom Ltd,483.41,1.98,0.41%,486.27,481.57,1001600,25/08/2021
AVY,Avery Dennison Corp,223.94,4.85,2.21%,224.49,217.84,791500,25/08/2021
AWK,American Water Works,180.88,0.28,0.16%,181.43,179.56,502400,25/08/2021
AXP,American Express Company,166.18,4.98,3.09%,167.23,160.5,3580100,25/08/2021
